outcome,strategy,targeting_rate,targeted_rows,uplift,estimated_incremental_outcomes_in_model_test
visit,causal_s_learner,0.1,29926,0.09484796419658835,2838.3348133793256
visit,causal_s_learner,0.2,59851,0.04651523693167659,2783.9462334082305
visit,causal_s_learner,0.3,89776,0.03277425710764234,2942.3187641157233
visit,response_model,0.1,29926,0.08270000935188229,2474.8060498560126
visit,response_model,0.2,59851,0.04617092612510199,2763.3391627725796
visit,response_model,0.3,89776,0.03171295681437139,2847.0402118972356
conversion,causal_s_learner,0.1,29926,0.010909588376857187,326.470523136289
conversion,causal_s_learner,0.2,59851,0.005994259277005919,358.75761658065966
conversion,causal_s_learner,0.3,89776,0.003999502268199116,359.0565159782561
conversion,response_model,0.1,29926,0.00997213812995161,298.41723075261496
conversion,response_model,0.2,59851,0.0055793074764068735,333.9226683244467
conversion,response_model,0.3,89776,0.003968412032733587,356.2653807622675
